race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E,N,A,C,O,E%,N%,A%,C%,O%
Caucasian (European),19,Yes,Male,Right,Another page,AU,1,4,4,4,2,3,2,4,2,4,1,4,2,4,2,2,2,2,4,2,2,3,4,3,4,4,3,4,4,3,3,2,4,3,2,2,5,2,4,4,4,2,4,2,4,2,5,3,2,2,22,21,32,37,36,44.0,42.0,64.0,74.0,72.0
Caucasian (European),31,Yes,Female,Right,Another page,GB,2,2,4,2,4,2,4,4,2,2,2,3,3,4,2,2,4,2,2,2,4,4,4,1,5,2,4,2,2,3,3,1,4,2,3,2,4,2,4,4,4,4,5,4,2,2,3,2,2,3,34,24,21,39,29,68.0,48.0,42.0,78.0,58.0
Caucasian (Indian),22,No,Female,Right,Another page,IN,1,2,4,3,4,5,2,2,4,3,4,4,5,2,3,2,4,1,3,3,5,3,1,3,1,4,2,3,4,5,4,4,5,1,4,4,4,4,5,3,3,3,3,2,5,4,4,3,2,4,30,31,37,36,33,60.0,62.0,74.0,72.0,66.0
Caucasian (European),23,No,Male,Right,Another page,SE,2,5,3,5,3,4,2,5,2,4,3,3,4,3,3,4,3,4,4,3,4,3,3,4,3,3,4,4,3,3,5,3,4,4,2,3,5,3,5,4,4,2,2,2,3,4,5,4,4,3,19,34,30,36,35,38.0,68.0,60.0,72.0,70.0
Other,18,No,Female,Right,Another page,IN,4,1,5,5,5,3,4,4,1,3,3,4,5,3,5,5,3,5,5,2,4,4,3,4,3,5,2,4,3,3,2,3,3,3,3,3,3,4,2,3,3,5,5,3,3,4,2,3,4,3,33,38,35,27,29,66.0,76.0,70.0,54.0,58.0
Caucasian (Middle East),28,No,Male,Right,Another page,AZ,1,4,1,5,4,5,1,4,2,4,1,3,3,3,3,4,4,3,3,3,1,2,5,1,4,3,5,2,2,3,1,4,3,4,2,3,4,4,2,3,4,1,3,1,1,3,3,4,4,2,17,30,22,24,34,34.0,60.0,44.0,48.0,68.0
South East Asian,19,Yes,Male,Right,Another page,PH,3,4,5,5,5,2,4,2,3,5,1,5,1,1,3,3,5,3,4,3,2,3,2,5,5,5,3,4,5,4,5,1,5,1,5,3,5,3,5,4,4,1,4,2,4,1,5,5,4,5,32,29,38,45,45,64.0,58.0,76.0,90.0,90.0
Pacific,22,Yes,Male,Right,Another page,NZ,1,4,4,4,3,4,3,5,2,5,4,3,4,4,2,3,3,3,5,5,2,4,1,5,3,5,2,4,5,3,2,3,2,2,2,2,5,3,4,5,1,2,5,5,3,1,4,1,5,3,21,34,42,34,32,42.0,68.0,84.0,68.0,64.0
Caucasian (Indian),26,No,Male,Right,Other or not provided,IN,3,3,3,3,3,3,2,3,3,4,1,3,3,4,4,2,2,2,2,2,2,4,2,5,2,4,3,3,3,4,3,2,3,2,3,5,3,4,2,4,4,2,4,3,4,4,4,2,2,4,28,23,38,29,33,56.0,46.0,76.0,58.0,66.0
Caucasian (Indian),24,No,Female,Right,Google,IN,3,1,5,3,5,2,5,3,3,1,4,3,4,2,4,4,4,4,2,1,3,5,1,3,3,4,3,4,3,5,4,4,4,4,2,3,4,2,3,4,3,2,5,2,4,1,5,2,4,4,41,34,38,32,40,82.0,68.0,76.0,64.0,80.0
Caucasian (European),46,Yes,Female,Right,Google,US,2,3,3,2,3,2,1,4,3,4,2,5,3,3,1,5,1,2,2,2,1,5,1,5,1,4,1,5,5,4,3,2,4,1,4,1,4,1,5,4,5,1,4,1,5,1,5,5,5,5,27,22,48,43,49,54.0,44.0,96.0,86.0,98.0
Caucasian (European),15,Yes,Female,Right,Another page,GB,5,2,4,3,4,1,5,4,2,2,3,4,5,5,5,3,5,3,5,1,2,5,1,4,2,3,2,4,4,3,4,1,5,3,2,5,3,3,1,3,3,5,5,5,3,1,2,1,3,4,38,33,40,30,28,76.0,66.0,80.0,60.0,56.0
Caucasian (European),15,Yes,Male,Right,Another page,GB,5,1,5,1,5,2,5,3,5,2,3,4,3,4,3,2,5,4,5,1,3,3,4,3,2,2,3,2,4,4,2,4,4,4,3,5,1,4,3,2,2,2,4,4,4,1,4,3,4,3,46,30,30,22,35,92.0,60.0,60.0,44.0,70.0
Caucasian (Indian),18,Yes,Female,Right,Google,IN,4,2,4,4,3,2,4,5,2,3,1,5,1,5,2,2,4,4,2,1,2,4,1,3,2,5,3,3,3,5,1,4,5,5,2,5,2,3,1,2,2,2,5,1,5,1,4,1,4,5,31,19,39,20,40,62.0,38.0,78.0,40.0,80.0
Other,34,Yes,Female,Right,Other or not provided,US,4,2,5,1,5,2,5,4,3,1,2,5,2,5,2,2,1,1,1,1,1,5,1,5,3,5,1,5,5,5,4,3,4,1,2,2,4,3,5,4,4,2,5,2,4,1,5,4,5,5,42,14,48,38,45,84.0,28.0,96.0,76.0,90.0
Other,21,No,Female,Right,Another page,IN,1,5,3,4,2,4,4,4,5,5,4,3,4,2,1,1,4,4,4,1,5,2,1,3,2,2,3,3,4,4,2,1,5,1,5,1,5,3,5,5,5,1,5,1,5,1,5,5,5,5,23,30,31,45,50,46.0,60.0,62.0,90.0,100.0
Other,19,No,Male,Right,Another page,EG,1,2,1,4,1,5,3,3,4,2,5,2,3,1,3,5,5,4,4,3,3,3,2,4,1,5,3,3,5,3,3,1,5,4,3,5,4,3,5,5,2,3,5,3,3,1,5,5,3,4,24,41,38,36,38,48.0,82.0,76.0,72.0,76.0
Caucasian (European),25,Yes,Male,Right,Another page,GB,3,5,4,4,2,5,2,5,2,3,4,3,4,3,3,2,1,1,4,2,3,3,3,1,3,1,4,4,2,3,3,1,4,2,2,4,3,2,3,3,2,2,5,1,3,1,4,2,2,3,21,27,25,33,35,42.0,54.0,50.0,66.0,70.0
Other,18,Yes,Female,Right,Another page,KE,3,2,3,2,4,1,2,3,4,3,2,4,2,3,1,2,3,3,3,2,1,4,2,5,1,4,2,2,5,3,3,4,2,3,1,4,2,2,2,4,4,1,5,1,5,1,4,4,4,5,35,23,41,25,46,70.0,46.0,82.0,50.0,92.0
South East Asian,29,No,Male,Right,Another page,PK,3,3,2,4,4,4,3,3,4,4,3,3,5,3,4,5,5,5,5,5,1,4,1,5,1,5,2,2,5,4,2,2,4,4,2,5,4,4,2,2,4,4,5,4,5,5,2,2,5,5,28,43,44,25,33,56.0,86.0,88.0,50.0,66.0
South East Asian,13,Yes,Female,Right,Another page,SG,3,4,3,4,4,4,2,4,2,4,5,3,4,4,5,4,3,2,5,2,2,4,3,4,2,4,2,4,4,2,3,5,3,4,2,4,4,4,3,3,2,4,3,4,3,3,4,2,3,2,24,35,37,25,26,48.0,70.0,74.0,50.0,52.0
Caucasian (European),46,Yes,Female,Right,Another page,US,2,4,1,4,2,2,2,2,2,4,2,3,3,2,2,2,3,3,2,5,2,4,1,4,2,2,2,3,4,3,4,2,4,2,2,2,4,3,2,4,4,2,4,3,3,3,4,2,4,3,23,29,37,35,34,46.0,58.0,74.0,70.0,68.0
South East Asian,23,Yes,Female,Right,Google,CH,4,2,3,1,4,1,4,3,2,3,1,5,2,4,5,4,5,5,2,1,4,4,1,5,3,5,2,4,5,5,3,1,5,1,3,1,2,2,5,5,2,1,5,1,5,1,5,1,3,5,37,28,42,42,41,74.0,56.0,84.0,84.0,82.0
Other,18,Yes,Female,Right,Google,GB,5,5,4,1,5,5,5,4,2,3,3,4,3,2,4,1,3,1,3,1,4,4,4,4,2,3,2,2,2,4,2,4,2,3,1,5,3,5,1,2,1,3,4,1,3,5,4,4,2,3,33,25,31,18,30,66.0,50.0,62.0,36.0,60.0
Mixed Race,22,Yes,Female,Right,Other or not provided,SG,4,2,4,3,4,2,2,3,3,2,4,4,4,3,4,3,3,4,2,4,2,4,2,4,2,4,2,4,4,4,2,2,3,2,3,2,4,3,4,3,3,2,3,2,3,3,4,3,4,3,35,33,40,34,34,70.0,66.0,80.0,68.0,68.0
Other,17,Yes,Male,Right,Google,GB,2,4,3,4,2,4,4,4,2,5,3,4,4,2,4,3,4,4,4,2,2,5,2,5,2,4,2,5,4,4,2,2,4,3,2,2,2,2,2,3,3,4,3,2,3,3,2,3,2,2,22,34,43,30,27,44.0,68.0,86.0,60.0,54.0
Other,21,Yes,Female,Right,Another page,US,4,1,5,2,5,1,4,2,5,2,4,2,4,2,3,3,3,4,4,4,2,5,1,5,2,5,2,4,4,5,4,2,3,2,3,3,4,3,4,4,4,3,4,2,5,1,4,5,2,5,45,37,45,36,41,90.0,74.0,90.0,72.0,82.0
Mixed Race,17,Yes,Male,Right,Google,GB,5,2,5,1,4,1,5,1,4,2,2,5,1,5,2,1,2,1,1,1,4,4,2,3,2,4,2,4,3,5,2,4,5,2,2,2,4,2,3,5,3,2,4,3,4,1,4,1,3,5,46,13,37,35,36,92.0,26.0,74.0,70.0,72.0
Other,17,Yes,Male,Left,Google,GB,3,2,3,3,4,2,4,2,4,3,4,2,4,3,4,3,4,4,4,4,3,4,4,3,3,3,2,4,4,4,4,2,4,4,2,2,4,4,4,3,3,3,4,3,3,2,4,3,4,4,36,38,34,33,35,72.0,76.0,68.0,66.0,70.0
Other,17,Yes,Male,Right,Google,GB,2,3,3,3,3,3,1,5,2,4,4,3,3,2,3,2,2,2,3,2,1,4,2,4,3,4,2,3,4,4,4,2,4,2,4,5,5,3,4,4,2,2,3,3,4,4,3,2,3,4,23,28,39,37,30,46.0,56.0,78.0,74.0,60.0
Other,17,Yes,Male,Right,Google,GB,1,5,5,5,5,5,1,5,1,5,2,5,2,4,5,2,3,2,4,2,3,4,2,3,2,5,4,2,3,3,5,1,5,2,5,1,2,1,4,4,2,5,4,4,4,5,4,2,5,2,18,25,33,44,27,36.0,50.0,66.0,88.0,54.0
Caucasian (European),35,Yes,Male,Left,Another page,GB,1,5,2,4,1,5,1,5,1,5,2,5,1,1,2,1,2,1,3,4,4,2,1,4,5,1,5,1,2,4,1,3,1,2,5,1,3,4,1,1,5,1,1,1,5,4,5,5,1,2,12,22,23,26,36,24.0,44.0,46.0,52.0,72.0
Caucasian (European),14,No,Male,Right,Other or not provided,NO,1,4,2,5,1,4,1,5,1,5,2,4,4,3,1,4,3,3,4,5,1,4,3,5,1,5,1,5,5,5,2,4,4,4,1,5,1,4,2,1,4,2,4,1,4,1,4,4,5,5,13,31,47,18,44,26.0,62.0,94.0,36.0,88.0
Caucasian (European),19,Yes,Female,Right,Another page,GB,2,3,4,4,2,4,4,5,2,4,4,2,5,3,3,3,4,3,4,3,2,5,3,4,2,4,2,4,4,3,4,3,5,3,4,2,5,1,4,4,3,4,3,2,4,4,4,3,2,3,24,36,39,41,30,48.0,72.0,78.0,82.0,60.0
Caucasian (European),37,No,Male,Right,Another page,BR,1,4,3,4,2,2,2,3,4,5,2,3,4,3,3,2,2,2,2,3,1,3,1,4,1,5,1,3,3,4,3,4,3,2,2,3,3,4,4,3,4,1,4,1,3,1,3,3,3,3,24,26,42,29,38,48.0,52.0,84.0,58.0,76.0
Caucasian (European),33,Yes,Female,Right,Other or not provided,GB,2,3,4,2,4,2,4,3,4,4,1,3,3,4,2,2,3,2,2,2,1,4,1,4,2,2,2,4,2,4,4,3,4,1,3,3,3,2,4,4,5,2,2,2,3,2,4,4,4,4,34,22,38,37,38,68.0,44.0,76.0,74.0,76.0
Native American,19,Yes,Female,Right,Google,US,5,2,5,2,5,2,2,5,2,3,3,5,3,3,3,5,5,5,5,3,1,5,2,5,1,5,1,5,5,5,4,1,5,1,5,1,5,3,3,3,3,3,3,2,5,1,5,3,5,5,35,36,49,43,41,70.0,72.0,98.0,86.0,82.0
Caucasian (European),25,Yes,Male,Right,Another page,US,4,4,2,4,4,2,3,5,2,4,1,4,2,4,1,1,2,1,1,1,5,5,4,1,4,1,4,1,1,3,5,1,4,2,2,1,2,2,3,4,2,2,5,3,5,1,5,2,4,4,26,14,19,38,39,52.0,28.0,38.0,76.0,78.0
Caucasian (European),29,Yes,Female,Right,Another page,GB,3,2,4,3,4,1,3,4,2,4,3,4,5,3,2,4,4,4,4,4,1,5,2,5,2,2,1,4,4,4,5,4,4,4,3,2,4,1,4,4,5,5,5,3,3,1,5,4,4,3,32,35,42,37,38,64.0,70.0,84.0,74.0,76.0
Caucasian (European),35,No,Female,Right,Another page,BR,4,5,3,5,3,3,5,4,3,5,3,3,4,4,2,3,3,2,2,3,4,5,3,5,1,4,1,3,4,4,4,4,4,5,2,4,3,2,5,3,3,1,5,2,3,1,5,3,4,4,26,27,40,30,41,52.0,54.0,80.0,60.0,82.0
Other,42,No,Male,Right,Another page,BR,1,5,4,3,1,2,1,3,5,5,2,4,4,1,2,2,2,1,3,1,3,4,2,4,4,4,4,2,4,4,3,2,4,1,3,3,3,3,2,4,4,4,5,4,5,1,4,2,5,5,24,24,33,34,39,48.0,48.0,66.0,68.0,78.0
South East Asian,16,No,Male,Right,Other or not provided,ID,1,3,2,5,1,3,1,4,2,5,4,5,4,5,5,4,3,3,3,4,4,5,3,4,2,3,1,4,4,3,1,3,4,4,1,5,2,5,1,3,3,3,4,3,2,1,3,4,4,2,17,32,37,19,33,34.0,64.0,74.0,38.0,66.0
Caucasian (European),30,Yes,Male,Right,Google,US,3,4,4,4,2,2,4,5,5,5,2,4,2,3,4,2,4,4,2,4,1,4,2,4,2,4,2,4,5,4,3,5,2,2,2,4,4,4,1,5,4,1,5,1,5,1,5,5,5,5,28,29,42,26,49,56.0,58.0,84.0,52.0,98.0
South East Asian,14,No,Male,Right,Another page,PH,2,2,3,3,5,2,2,3,4,5,2,3,4,3,3,3,3,2,3,3,4,3,2,4,2,5,4,4,5,5,3,3,3,2,3,4,3,3,2,3,4,2,3,2,4,1,5,4,5,5,31,29,38,29,43,62.0,58.0,76.0,58.0,86.0
"Caucasian (North African, Other)",18,Yes,Female,Right,Google,US,1,1,5,4,5,1,5,3,5,1,3,3,5,1,3,2,2,1,1,1,5,5,1,5,1,5,1,5,5,5,4,3,3,2,3,1,3,1,5,5,2,4,4,5,5,1,3,1,3,5,41,26,46,40,31,82.0,52.0,92.0,80.0,62.0
Native American,48,Yes,Female,Left,Google,US,1,2,4,1,4,1,1,1,1,1,1,4,3,2,2,1,1,1,3,1,2,3,1,4,2,3,1,3,3,4,4,1,3,1,5,1,4,1,4,4,2,1,2,2,4,5,3,1,1,4,35,19,38,44,27,70.0,38.0,76.0,88.0,54.0
Other,42,Yes,Female,Right,Google,US,1,5,2,5,1,4,1,5,1,5,2,5,4,3,2,1,1,1,1,3,2,5,1,5,1,5,1,5,5,4,5,1,5,1,3,1,5,2,5,4,2,2,4,2,4,2,4,2,4,4,12,19,48,46,36,24.0,38.0,96.0,92.0,72.0
Mixed Race,14,Yes,Male,Right,Another page,US,3,1,5,5,5,3,3,3,5,3,5,3,5,3,5,5,5,4,5,3,5,5,5,3,3,5,3,3,5,3,4,3,5,5,3,5,5,3,3,3,1,3,5,3,3,3,4,3,5,3,36,43,32,31,33,72.0,86.0,64.0,62.0,66.0
Caucasian (European),14,Yes,Male,Right,Another page,US,4,2,4,2,4,4,4,3,4,5,3,4,4,3,2,4,3,1,4,3,4,3,5,4,3,4,2,4,4,4,3,5,5,3,1,5,3,4,3,5,5,2,5,3,5,1,4,4,5,5,34,29,33,27,45,68.0,58.0,66.0,54.0,90.0
Caucasian (European),31,Yes,Male,Left,Facebook,US,2,4,4,4,3,4,3,4,3,4,2,4,4,3,4,1,2,2,2,2,2,4,2,5,2,4,2,5,4,5,4,2,4,2,2,2,3,3,3,4,3,4,4,2,4,1,4,2,4,4,25,24,43,35,36,50.0,48.0,86.0,70.0,72.0
South East Asian,17,No,Female,Right,Google,PH,1,1,4,4,5,1,1,1,5,3,5,5,3,3,5,5,5,5,2,4,5,5,1,4,1,5,1,5,5,5,3,5,4,5,3,5,5,3,3,5,3,1,5,1,3,5,5,3,5,4,36,38,45,29,39,72.0,76.0,90.0,58.0,78.0
South East Asian,16,No,Female,Right,Other or not provided,PH,1,5,1,4,1,5,1,1,1,5,5,2,5,1,5,5,5,5,5,5,1,1,1,5,3,5,4,5,5,1,4,4,5,5,1,5,3,4,4,4,5,1,5,1,5,1,5,5,5,5,15,49,37,27,50,30.0,98.0,74.0,54.0,100.0
Caucasian (Indian),21,No,Male,Right,Another page,IN,1,3,4,5,5,1,4,5,5,5,3,5,3,5,5,3,5,1,5,5,5,4,1,5,1,5,1,5,1,3,5,5,4,5,5,3,1,1,3,5,1,1,3,2,4,1,5,1,5,4,30,32,39,33,37,60.0,64.0,78.0,66.0,74.0
Caucasian (European),68,Yes,Female,Right,Another page,US,3,4,3,4,4,1,3,4,3,4,3,4,5,3,3,3,2,2,2,3,1,5,1,5,1,5,1,5,5,5,5,2,5,2,4,2,4,1,4,5,5,1,5,1,4,1,3,4,5,4,29,28,50,44,45,58.0,56.0,100.0,88.0,90.0
Caucasian (European),25,Yes,Male,Right,Facebook,US,4,2,2,2,4,2,3,3,3,3,4,3,4,3,3,3,4,3,4,3,2,4,2,4,2,3,2,4,4,3,4,2,5,2,3,3,4,2,3,4,4,2,4,2,4,2,4,5,5,4,34,34,38,38,42,68.0,68.0,76.0,76.0,84.0
Caucasian (European),51,Yes,Female,Right,Another page,US,4,1,5,2,5,2,5,3,4,5,4,4,2,4,3,3,2,1,4,1,4,4,5,1,5,3,5,1,1,5,4,1,1,1,5,1,5,1,1,4,4,4,1,5,3,2,4,4,1,3,40,24,20,40,27,80.0,48.0,40.0,80.0,54.0
Caucasian (European),48,Yes,Male,Right,Another page,US,2,2,2,2,4,1,2,2,2,4,4,2,5,2,3,2,4,3,2,2,1,4,4,3,1,4,2,4,3,1,4,2,4,3,4,3,5,1,4,4,4,2,4,3,4,5,5,4,5,5,31,33,35,40,39,62.0,66.0,70.0,80.0,78.0
Caucasian (Indian),26,Yes,Male,Right,Another page,ZA,5,1,5,3,5,2,5,4,4,3,1,5,5,2,2,1,4,1,1,2,1,2,1,5,1,5,1,5,5,4,5,3,1,2,4,2,5,1,5,4,2,1,5,1,4,1,5,1,4,4,41,22,46,40,40,82.0,44.0,92.0,80.0,80.0
Other,23,Yes,Male,Right,Other or not provided,BZ,3,2,3,2,4,1,4,3,3,2,3,2,3,4,3,1,4,3,2,4,2,5,2,2,5,3,1,2,2,3,3,1,4,2,2,2,5,3,3,3,3,3,4,4,5,2,3,3,4,4,37,29,31,36,35,74.0,58.0,62.0,72.0,70.0
Caucasian (Indian),20,No,Female,Right,Another page,IN,2,1,5,2,4,4,2,2,4,3,2,3,4,1,1,1,4,2,2,1,4,2,2,4,2,4,2,5,4,5,3,3,5,1,3,2,2,2,5,5,4,4,5,1,5,1,5,2,3,5,35,25,38,39,41,70.0,50.0,76.0,78.0,82.0
Native American,15,Yes,Female,Right,Another page,US,3,1,1,4,2,2,5,1,5,2,5,1,5,1,1,5,5,4,5,4,1,3,4,5,2,4,2,4,3,3,1,5,3,5,2,5,5,3,3,3,2,5,5,1,3,1,1,1,3,4,36,44,37,23,30,72.0,88.0,74.0,46.0,60.0
Caucasian (European),15,Yes,Female,Right,Another page,US,4,2,5,1,3,1,4,2,5,5,4,4,4,3,4,4,5,3,2,3,1,4,2,4,1,5,2,4,5,3,3,2,3,3,5,4,3,3,3,3,3,3,3,3,3,2,4,1,3,4,40,34,43,32,31,80.0,68.0,86.0,64.0,62.0
Caucasian (European),22,Yes,Female,Right,Other or not provided,GB,4,1,4,1,5,1,5,2,4,2,4,2,4,2,5,4,3,2,3,2,1,4,4,4,2,5,2,4,4,4,3,5,2,4,2,5,2,2,1,3,4,4,5,4,3,1,4,3,5,4,45,35,40,21,37,90.0,70.0,80.0,42.0,74.0
South East Asian,18,No,Female,Left,Another page,PH,3,4,3,2,3,3,5,3,2,5,3,2,5,2,1,2,3,3,1,4,5,3,2,5,2,5,2,5,5,3,2,2,5,3,2,4,4,2,2,3,4,2,5,1,5,1,4,2,5,4,29,30,39,31,43,58.0,60.0,78.0,62.0,86.0
Caucasian (European),18,Yes,Female,Right,Other or not provided,US,1,5,3,5,2,4,1,4,2,5,4,4,5,2,2,1,2,1,2,3,2,4,3,4,2,3,2,4,5,2,4,3,5,2,2,4,3,2,4,4,4,2,5,2,4,1,4,4,5,3,16,26,37,35,42,32.0,52.0,74.0,70.0,84.0
Mixed Race,14,Yes,Male,Right,Another page,US,1,3,2,4,2,3,1,4,3,3,3,3,3,3,3,3,2,2,3,2,4,1,4,3,4,3,4,3,2,1,1,3,3,3,3,3,3,3,3,3,4,1,4,5,3,3,4,5,5,4,22,27,21,28,38,44.0,54.0,42.0,56.0,76.0
Other,29,No,Male,Right,Other or not provided,IN,3,4,3,4,4,3,2,4,4,4,3,3,5,3,5,5,5,5,5,3,2,4,1,5,1,5,1,4,5,4,5,4,5,5,5,3,5,2,5,4,4,3,4,3,4,3,4,3,4,5,27,42,46,39,37,54.0,84.0,92.0,78.0,74.0
Caucasian (European),19,Yes,Female,Right,Other or not provided,US,3,3,4,2,5,1,5,2,5,2,5,4,5,4,4,4,2,3,4,2,1,5,1,5,1,5,1,4,4,4,2,1,4,1,2,2,4,2,1,3,4,1,5,1,4,1,4,2,5,5,42,33,47,34,44,84.0,66.0,94.0,68.0,88.0
Other,21,No,Female,Right,Another page,PK,3,3,3,3,2,3,2,4,4,4,3,3,4,3,4,2,2,2,4,2,4,3,2,5,3,4,2,3,4,2,2,4,2,4,3,2,3,3,2,3,3,3,3,3,3,2,3,2,3,2,27,29,34,26,29,54.0,58.0,68.0,52.0,58.0
Caucasian (European),36,Yes,Male,Right,Google,GB,3,1,3,3,1,3,4,3,1,5,4,2,5,2,3,1,3,1,2,3,3,3,4,4,3,2,2,3,2,3,1,1,4,3,2,4,5,2,5,5,1,3,5,3,4,4,4,1,2,4,27,30,29,36,29,54.0,60.0,58.0,72.0,58.0
Caucasian (Indian),21,No,Male,Right,Another page,IN,1,4,2,4,1,4,1,2,4,4,4,2,4,4,5,4,4,4,5,2,3,4,2,4,3,4,2,2,3,2,2,4,3,4,1,4,3,2,2,3,1,3,4,4,2,4,3,2,3,2,21,38,33,24,24,42.0,76.0,66.0,48.0,48.0
Caucasian (European),22,Yes,Male,Right,Another page,CA,2,3,3,4,5,2,3,3,4,1,3,2,4,2,2,4,3,4,4,4,4,3,3,2,4,2,4,4,4,3,2,3,2,3,3,3,4,3,2,4,2,2,4,2,4,1,3,2,4,4,34,36,27,29,36,68.0,72.0,54.0,58.0,72.0
Native American,16,Yes,Male,Left,Another page,US,5,5,1,1,5,5,1,1,5,5,5,5,1,1,5,5,1,1,5,5,5,5,1,1,5,5,1,1,5,5,5,5,1,1,5,5,1,1,5,5,5,5,1,1,5,5,1,1,5,5,30,34,34,34,30,60.0,68.0,68.0,68.0,60.0
Caucasian (European),41,No,Female,Right,Another page,CZ,4,1,4,2,5,1,4,3,4,2,5,2,4,2,5,4,4,4,2,4,3,5,1,5,2,5,1,3,5,5,2,5,4,4,3,5,3,5,2,3,5,1,1,2,4,1,4,4,4,4,42,40,45,22,40,84.0,80.0,90.0,44.0,80.0
Caucasian (European),49,No,Male,Right,Another page,RO,1,4,1,4,3,2,2,5,4,5,4,2,4,2,4,3,3,4,4,3,1,5,1,5,2,4,3,4,4,4,3,3,4,3,2,3,2,3,3,2,4,4,4,3,4,2,4,2,5,4,21,37,43,28,36,42.0,74.0,86.0,56.0,72.0
Caucasian (European),32,Yes,Female,Right,Other or not provided,AU,3,4,2,4,3,2,3,4,3,4,5,3,4,2,5,4,4,5,5,4,1,5,2,5,2,5,2,5,5,5,3,5,1,5,1,5,1,4,1,2,2,5,5,5,2,1,5,1,4,2,26,43,47,14,28,52.0,86.0,94.0,28.0,56.0
Caucasian (European),30,Yes,Male,Right,Another page,GB,4,2,5,2,4,2,4,2,5,2,1,5,4,2,3,2,2,1,2,1,1,4,2,5,2,4,1,4,4,3,4,4,4,2,1,4,3,2,5,4,5,1,4,2,5,1,4,4,4,4,42,21,42,33,44,84.0,42.0,84.0,66.0,88.0
Mixed Race,16,Yes,Female,Right,Another page,US,3,1,4,3,5,1,2,3,3,3,5,4,4,1,5,4,5,5,5,5,5,5,4,5,3,3,3,2,5,4,1,5,2,5,1,5,4,5,2,2,3,5,1,5,1,5,4,3,5,1,36,45,33,16,21,72.0,90.0,66.0,32.0,42.0
"West African, Bushmen, Ethiopian",42,Yes,Male,Right,Another page,NG,5,5,4,4,2,2,5,5,2,2,5,5,4,4,2,2,5,5,2,2,5,5,4,4,2,2,5,5,2,2,5,5,4,4,2,2,5,5,2,2,5,5,4,4,2,2,5,5,2,2,30,30,28,28,32,60.0,60.0,56.0,56.0,64.0
Caucasian (European),44,Yes,Female,Left,Another page,US,4,1,5,2,5,1,5,2,2,1,3,4,4,5,1,2,2,1,2,1,1,5,1,5,2,4,1,3,4,5,3,2,4,1,2,2,4,2,4,4,5,1,4,1,4,2,5,4,5,5,44,19,45,38,46,88.0,38.0,90.0,76.0,92.0
Other,17,No,Female,Right,Another page,IN,3,3,5,5,5,1,5,2,4,4,3,5,5,2,5,4,4,5,2,3,1,4,1,5,3,5,1,4,3,5,4,3,5,2,3,4,5,1,4,3,2,1,5,1,3,1,2,3,5,5,37,36,44,38,40,74.0,72.0,88.0,76.0,80.0
South East Asian,18,No,Female,Right,Google,CA,2,3,3,3,3,4,2,4,3,5,5,3,5,3,4,4,4,4,4,3,4,3,4,4,2,3,3,5,4,3,4,2,3,2,4,3,5,3,5,3,2,5,3,4,4,3,4,2,4,3,24,39,33,38,28,48.0,78.0,66.0,76.0,56.0
Caucasian (Indian),20,No,Female,Right,Another page,IN,1,5,3,1,3,1,5,1,5,1,5,1,5,3,5,5,5,5,5,3,1,3,3,5,1,5,1,1,5,5,1,5,5,5,3,5,1,3,1,1,1,1,5,1,5,1,1,1,3,5,38,46,42,18,36,76.0,92.0,84.0,36.0,72.0
Caucasian (European),27,Yes,Female,Right,Google,GB,2,2,5,3,5,1,5,3,2,2,3,3,3,3,4,2,1,2,2,2,5,5,1,4,2,3,1,4,5,5,4,4,3,3,3,3,5,1,4,3,4,2,2,3,4,3,5,3,4,4,38,25,41,35,36,76.0,50.0,82.0,70.0,72.0
Caucasian (European),54,Yes,Male,Right,Another page,US,2,3,4,2,2,2,2,2,3,4,2,2,3,4,2,2,2,1,2,2,2,4,2,4,2,3,2,4,4,4,4,2,4,3,2,2,4,2,4,4,4,2,3,2,4,2,4,4,4,3,30,22,39,37,38,60.0,44.0,78.0,74.0,76.0
Caucasian (European),28,No,Female,Left,Another page,DK,4,3,5,2,4,1,5,2,5,3,2,5,5,2,1,3,2,1,2,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,5,3,5,5,3,5,1,5,1,4,5,4,5,42,22,50,44,46,84.0,44.0,100.0,88.0,92.0
Caucasian (European),26,Yes,Male,Right,Google,US,5,2,5,1,5,2,5,2,5,2,4,4,3,3,2,4,2,3,4,2,1,4,3,5,2,5,1,4,5,3,2,4,3,4,2,4,2,3,2,2,5,1,4,1,4,2,4,4,5,4,46,29,43,22,44,92.0,58.0,86.0,44.0,88.0
Caucasian (European),17,Yes,Female,Left,Google,GB,1,4,2,5,2,4,2,5,1,5,4,2,5,1,4,5,5,4,5,4,1,3,2,4,3,4,3,4,4,2,4,2,4,4,2,5,4,3,4,3,3,2,4,2,2,2,4,2,4,4,15,45,36,31,35,30.0,90.0,72.0,62.0,70.0
